timestamp,fpsValue
1.002,38
2.002,60
3.002,58
4.002,60
5.002,58
6.002,59
7.002,58
8.002,50
9.002,32
10.002,31
11.002,27
12.002,28
13.002,26
14.002,25
15.002,24
16.002,23
17.002,22
18.002,22
19.002,21
20.002,21
21.002,20
22.002,19
23.002,19
24.002,19
25.002,17
26.002,19
27.002,18
28.002,18
29.002,18
30.002,18
31.002,18
32.002,18
33.002,18
34.002,19
35.002,18
36.002,18
37.002,18
38.002,18
39.002,18
40.002,18
41.002,18
42.002,18
43.002,19
44.002,18
45.002,18
46.002,18
47.002,18
48.002,18
49.002,18
50.002,18
51.002,18
52.002,19
53.002,18
54.002,18
55.002,18
56.002,18
57.002,18
58.002,18
59.002,18
60.002,19
61.002,18
62.002,18
63.002,18
64.002,18
65.002,18
66.002,18
67.002,18
68.002,18
69.002,19
70.002,18
71.002,18
72.002,18
73.002,18
74.002,18
75.002,18
76.002,18
77.002,19
78.002,17
79.002,19
80.002,18
81.002,18
82.002,18
83.002,18
84.002,18
85.002,18
86.002,18
87.002,19
88.002,17
89.002,16
90.002,7
91.002,8
92.002,7
93.002,8
94.002,7
95.002,7
96.002,8
97.002,7
98.002,8
99.002,7
100.002,7
101.002,8
102.002,7
103.002,7
104.002,8
105.002,7
106.002,8
107.002,7
108.002,7
109.002,8
110.002,7
111.002,8
112.002,7
113.002,7
114.002,8
115.002,7
116.002,7
117.002,8
118.002,7
119.002,8
120.002,7
121.002,7
