timestamp,totalUsage,nativeUsage,dalvikUsage,otherUsage
698,43,5,1,37
1966,46,6,2,38
3247,46,6,2,38
4512,47,7,2,38
5755,48,8,2,38
7003,49,8,3,38
8248,48,8,2,38
9500,49,8,3,38
10747,49,8,3,38
11993,50,9,3,38
13258,49,9,2,38
14506,50,9,3,38
15753,49,8,3,38
17021,49,8,3,38
18274,49,8,3,38
19521,49,8,3,38
20769,49,8,3,38
22025,50,9,3,38
23275,50,9,3,38
24523,50,9,3,38
25771,50,9,3,38
27024,50,9,3,38
28273,50,9,3,38
29523,50,9,3,38
30777,50,9,3,38
32029,50,9,3,38
33282,50,9,3,38
34530,48,8,2,38
35781,50,9,3,38
37031,50,9,3,38
38280,49,8,3,38
39529,49,8,3,38
40783,49,8,3,38
42040,50,9,3,38
43290,50,9,3,38
44539,50,9,3,38
45788,50,9,3,38
47037,50,9,3,38
48287,49,8,3,38
49538,50,9,3,38
50789,50,9,3,38
52040,50,9,3,38
53289,50,9,3,38
54538,49,8,3,38
55788,50,9,3,38
57038,50,9,3,38
58288,49,8,3,38
59539,50,9,3,38
60789,50,9,3,38
62058,49,8,3,38
63308,49,8,3,38
64560,49,8,3,38
65815,49,8,3,38
67065,49,8,3,38
68319,50,9,3,38
69569,49,8,3,38
70820,50,9,3,38
72073,49,8,3,38
73324,50,9,3,38
74576,49,8,3,38
75829,50,9,3,38
77108,50,9,3,38
78365,49,8,3,38
79614,49,8,3,38
80866,49,8,3,38
82116,49,8,3,38
83371,50,9,3,38
84622,50,9,3,38
85874,50,9,3,38
87126,49,8,3,38
88378,50,9,3,38
89630,49,8,3,38
90889,50,9,3,38
92151,49,8,3,38
93410,50,9,3,38
94675,50,9,3,38
95935,51,10,3,38
97195,51,10,3,38
98455,51,10,3,38
99715,50,9,3,38
100977,51,10,3,38
102236,51,10,3,38
103497,51,10,3,38
104757,51,10,3,38
106019,51,10,3,38
107279,50,9,3,38
108539,51,10,3,38
109798,51,10,3,38
111059,51,10,3,38
112329,50,9,3,38
113590,50,9,3,38
114850,51,10,3,38
116121,50,9,3,38
117380,51,10,3,38
118640,50,9,3,38
119900,50,9,3,38
121165,50,9,3,38
122426,51,10,3,38
