timestamp,fpsValue
0.862,2
1.862,28
2.862,30
3.862,30
4.862,29
5.862,28
6.862,29
7.862,30
8.862,30
9.862,29
10.862,29
11.862,28
12.862,30
13.862,29
14.862,29
15.862,30
16.862,29
17.862,30
18.862,29
19.862,29
20.862,29
21.862,29
22.862,30
23.862,29
24.862,28
25.862,27
26.862,30
27.862,28
28.862,29
29.862,28
30.862,28
31.862,30
32.862,29
33.862,29
34.862,31
35.862,29
36.862,29
37.862,30
38.862,29
39.862,30
40.862,29
41.862,30
42.862,29
43.862,30
44.862,29
45.862,30
46.862,29
47.862,29
48.862,30
49.862,28
50.862,30
51.862,30
52.862,29
53.862,29
54.862,27
55.862,30
56.862,29
57.862,29
58.862,29
59.862,29
60.862,30
61.862,29
62.862,30
63.862,30
64.862,30
65.862,29
66.862,29
67.862,30
68.862,30
69.862,29
70.862,30
71.862,30
72.862,30
73.862,29
74.862,27
75.862,30
76.862,29
77.862,29
78.862,29
79.862,30
80.862,29
81.862,29
82.862,31
83.862,29
84.862,30
85.862,29
86.862,27
87.862,30
88.862,28
89.862,29
90.862,29
91.862,30
92.862,29
93.862,29
94.862,30
95.862,30
96.862,29
97.862,28
98.862,30
99.862,29
100.862,28
101.862,29
102.862,29
103.862,30
104.862,28
105.862,28
106.862,27
107.862,27
108.862,27
109.862,28
110.862,26
111.862,26
112.862,26
113.862,25
114.862,26
115.862,25
116.862,25
117.862,25
118.862,25
119.862,23
120.862,25
121.862,24
