timestamp,totalUsage,nativeUsage,dalvikUsage,otherUsage
679,46,6,9,31
1946,56,6,10,40
3188,56,6,10,40
4442,57,7,10,40
5710,58,7,11,40
6969,58,7,11,40
8225,58,7,11,40
9474,58,7,11,40
10722,59,7,12,40
11994,59,7,12,40
13243,59,7,12,40
14486,60,7,13,40
15743,61,7,13,41
16990,61,7,13,41
18255,62,7,14,41
19516,62,7,14,41
20771,63,8,14,41
22051,64,8,15,41
23293,64,8,15,41
24541,64,8,15,41
25814,65,8,16,41
27068,65,8,16,41
28321,69,12,16,41
29621,66,8,17,41
30865,65,8,17,40
32110,65,8,17,40
33356,71,14,17,40
34621,66,9,17,40
35874,63,11,12,40
37120,62,9,13,40
38365,67,13,13,41
39617,63,9,13,41
40868,64,9,14,41
42110,64,9,14,41
43353,64,9,14,41
44596,67,12,14,41
45865,70,14,15,41
47111,68,12,15,41
48352,66,10,15,41
49610,69,12,16,41
50866,66,9,16,41
52109,66,9,16,41
53349,66,9,16,41
54592,67,9,17,41
55838,67,9,17,41
57085,67,10,17,40
58334,67,10,17,40
59583,66,9,17,40
60830,66,9,17,40
62085,62,9,13,40
63334,62,9,13,40
64577,64,10,13,41
65823,64,10,13,41
67070,64,9,14,41
68316,65,10,14,41
69571,65,10,14,41
70823,65,10,14,41
72072,66,10,15,41
73317,66,10,15,41
74563,66,10,15,41
75805,68,11,16,41
77055,68,11,16,41
78307,68,11,16,41
79559,67,10,16,41
80810,68,10,17,41
82059,68,10,17,41
83304,67,10,17,40
84551,67,10,17,40
85796,67,10,17,40
87045,66,9,17,40
88294,62,9,13,40
89565,62,9,13,40
90823,63,9,13,41
92070,64,9,14,41
93315,65,10,14,41
94558,65,10,14,41
95808,65,10,14,41
97051,66,10,15,41
98298,66,10,15,41
99549,65,9,15,41
100798,65,9,15,41
102050,67,10,16,41
103302,67,10,16,41
104547,67,10,16,41
105794,68,10,17,41
107059,68,10,17,41
108305,68,10,17,41
109548,67,10,17,40
110797,67,10,17,40
112045,67,10,17,40
113290,66,9,17,40
114542,62,9,13,40
115787,62,9,13,40
117034,64,10,13,41
118279,64,9,14,41
119521,65,10,14,41
120768,64,9,14,41
122016,65,10,14,41
123261,65,9,15,41
