timestamp,fpsValue
0.95,19
1.95,18
2.95,40
3.95,39
4.95,40
5.95,40
6.95,41
7.95,39
8.95,40
9.95,39
10.95,40
11.95,40
12.95,40
13.95,39
14.95,38
15.95,39
16.95,39
17.95,37
18.95,37
19.95,41
20.95,40
21.95,39
22.95,38
23.95,39
24.95,39
25.95,39
26.95,39
27.95,38
28.95,39
29.95,38
30.95,38
31.95,38
32.95,37
33.95,37
34.95,38
35.95,36
36.95,38
37.95,39
38.95,40
39.95,40
40.95,39
41.95,40
42.95,39
43.95,39
44.95,39
45.95,39
46.95,38
47.95,39
48.95,39
49.95,38
50.95,39
51.95,38
52.95,38
53.95,37
54.95,38
55.95,38
56.95,38
57.95,37
58.95,37
59.95,37
60.95,38
61.95,37
62.95,38
63.95,37
64.95,36
65.95,36
66.95,37
67.95,36
68.95,37
69.95,37
70.95,36
71.95,36
72.95,35
73.95,38
74.95,37
75.95,38
76.95,39
77.95,38
78.95,39
79.95,38
80.95,37
81.95,38
82.95,37
83.95,38
84.95,37
85.95,38
86.95,37
87.95,38
88.95,37
89.95,37
90.95,37
91.95,38
92.95,37
93.95,37
94.95,37
95.95,37
96.95,36
97.95,37
98.95,37
99.95,36
100.95,37
101.95,36
102.95,36
103.95,37
104.95,36
105.95,36
106.95,37
107.95,36
108.95,35
109.95,36
110.95,36
111.95,35
112.95,36
113.95,35
114.95,36
115.95,36
116.95,36
117.95,35
118.95,36
119.95,36
120.95,35
121.95,35
