timestamp,totalUsage,nativeUsage,dalvikUsage,otherUsage
685,42,5,3,34
1924,49,6,5,38
3166,107,9,34,64
4416,107,9,34,64
5678,108,9,35,64
6960,109,9,36,64
8201,110,9,37,64
9443,111,9,38,64
10695,113,9,39,65
11937,114,9,40,65
13177,115,9,41,65
14418,116,9,42,65
15659,117,9,43,65
16903,118,9,44,65
18145,119,9,45,65
19387,121,9,46,66
20635,123,9,48,66
21880,121,9,48,64
23124,121,9,48,64
24370,122,9,48,65
25612,122,9,48,65
26856,112,9,38,65
28100,113,9,39,65
29341,114,9,40,65
30585,115,9,41,65
31828,116,9,42,65
33077,117,9,43,65
34320,118,9,44,65
35564,120,9,45,66
36808,121,9,46,66
38052,122,9,47,66
39301,123,9,48,66
40549,122,9,49,64
41793,122,9,49,64
43035,123,9,49,65
44277,123,9,49,65
45520,112,9,38,65
46812,113,9,39,65
48056,114,9,40,65
49301,115,9,41,65
50548,115,9,41,65
51794,116,9,42,65
53041,118,10,43,65
54287,118,10,43,65
55530,120,10,44,66
56774,121,10,45,66
58018,122,10,46,66
59263,122,10,46,66
60507,123,10,47,66
61754,124,10,48,66
62998,125,10,49,66
64240,123,10,49,64
65482,123,10,49,64
66771,123,10,49,64
68017,124,10,49,65
69260,113,10,38,65
70502,113,10,38,65
71746,114,10,39,65
73025,115,10,40,65
74268,116,10,41,65
75513,117,10,42,65
76756,118,10,43,65
78003,119,10,44,65
79247,120,10,44,66
80492,121,10,45,66
81762,122,10,46,66
83007,123,10,47,66
84252,124,10,48,66
85505,123,10,49,64
86751,123,10,49,64
88002,123,10,49,64
89249,124,10,49,65
90496,113,10,38,65
91742,114,10,39,65
92991,115,10,40,65
94236,116,10,41,65
95481,117,10,42,65
96730,118,10,43,65
97983,119,10,44,65
99228,121,10,45,66
100478,122,10,46,66
101725,123,10,47,66
102973,124,10,48,66
104220,122,10,48,64
105468,122,10,48,64
106715,123,10,48,65
107962,124,10,49,65
109210,114,10,39,65
110458,114,10,39,65
111712,115,10,40,65
112961,116,10,41,65
114213,117,10,42,65
115461,118,10,43,65
116707,118,10,43,65
117955,119,10,44,65
119205,121,10,45,66
120454,122,10,46,66
121704,123,10,47,66
