CPU_timestamp,CPU_app_usage,CPU_total_usage
729,0,22.44
929,0,2.95
1129,0,16.25
1329,0.37,14.83
1529,0,0
1729,4.7,14.59
1929,3.1,5.95
2129,0,19.99
2330,0.59,12.23
2530,3.37,21.08
2730,0,6.16
2930,0,0.62
3130,1.23,8.84
3330,3.54,36.2
3530,0,17.24
3730,0.29,29.87
3930,0,4.86
4131,0,24.58
4331,0,8.95
4532,0,2.61
4732,0,46
4932,0,0
5132,0,22.79
5332,0,20.58
5532,0,40.28
5732,0.49,10.83
5932,0,15.79
6132,0,12.53
6332,0,11.69
6532,0,10.02
6732,0,16.77
6932,0,27.95
7132,0,13.15
7332,0,11.48
7532,0,9.72
7732,0,0.64
7932,0,2.24
8132,0,8.4
8332,0,15.94
8532,0,21.71
8732,6.67,21.25
8932,6.47,11.94
9133,6.96,9.42
9334,7.89,14.64
9534,10.3,13.91
9734,9.38,12.53
9934,9.51,14.73
10135,7.74,10.43
10336,11.14,12.07
10537,11.22,29.18
10737,8.44,11.84
10937,6.75,9.75
11137,8.41,14.07
11337,7.62,16.96
11538,8.09,10.53
11738,6.41,8.93
11938,7.24,11.23
12138,5.46,32.05
12338,5.53,7.64
12538,6.28,16.45
12738,8.42,9.69
12939,10.68,22.78
13139,10.13,9.85
13339,7.47,20.24
13539,8.47,9.19
13740,3.22,5.36
13940,5.44,9.51
14141,6.79,7.85
14341,8.65,21.29
14541,6.74,12.89
14741,6.95,11.19
14942,7.6,26.09
15143,9.98,12.25
15343,10.05,9.71
15543,9.07,11.56
15743,10.63,39.29
15943,10.71,31.88
16144,8.11,13.51
16344,5.63,8.78
16544,5.27,22.3
16744,7.33,17.72
16944,6.96,19.23
17144,8.57,17.51
17344,4.34,7.5
17544,9.24,10.28
17744,8.29,15.28
17945,10.39,25.97
18145,5.84,16.88
18345,5.39,7.55
18545,6.43,8.84
18745,5.69,9.97
18945,6.82,8.64
19146,7.36,22.65
19346,9.64,25.9
19546,8.05,15.18
19746,12.05,9.63
19946,6.79,11.19
20146,8.39,11.38
20346,5.71,9.98
20546,10,25.3
20746,10.8,16.49
20946,7.16,9.73
21146,7.11,13.53
21346,6.91,10.37
21547,7.94,12.85
21747,10.52,22.16
21947,10.18,21.59
22147,9.45,21.85
22347,8.28,9.25
22548,7.96,11.15
22748,9.71,11.73
22948,9.07,5.1
23148,10.96,7.69
23348,3.4,21.23
23548,6.64,18.13
23748,9.66,14.49
23948,7.92,10.01
24148,8.01,11.88
24349,13.1,15.47
24549,9.95,29.78
24749,6.97,15.63
24949,8.01,7.9
25149,7.5,11.07
25349,12.6,22.21
25549,9.38,12.42
25749,9.37,14.7
25949,9.48,23.24
26149,11.09,13.95
26349,8.61,9.07
26549,6.7,18.19
26749,8.86,16.69
26949,10.42,22.67
27149,10.17,14.95
27349,11.33,12.61
27549,10.39,16.82
27749,9.98,26.7
27953,8.32,12.61
28153,12.46,12.34
28353,11.72,14.66
28553,8.57,11.01
28754,8.35,13.43
28954,9.53,16.9
29154,7.09,9.34
29354,9.16,22.1
29555,10.76,17.49
29755,6.51,9.6
29956,8.82,11.34
30156,9.32,11.01
30356,9.72,15.91
30556,10.9,31.41
30756,10,24.71
30957,8.88,15.55
31157,8.59,10.78
31357,7.81,11.32
31557,11.07,17.03
31757,8.63,16.31
31957,10.39,24.03
32157,8.18,10.33
32357,7.03,13.03
32557,9.44,10.9
32757,7.5,13.18
32957,10.85,24.52
33158,10.69,9.85
33358,9.09,16.54
33558,7.2,9.7
33758,8.2,12.3
33958,9.69,13.32
34159,10.84,24.8
34359,10.54,12.25
34559,9.13,13.69
34759,6.88,11.46
34960,8.71,20.19
35161,9.35,13.29
35361,11.38,21.3
35561,11.02,14.06
35761,10.29,18.15
35962,6.76,12.33
36162,10.23,13.46
36362,9.1,11.82
36563,7.82,8.53
36764,10.8,17.67
36964,10.63,25.63
37164,7.55,8.74
37364,8.24,11.95
37565,9.2,13.07
37766,11.79,13.2
37966,7.93,18.95
38166,4.94,20.37
38366,5.79,9.25
38566,5.63,8.95
38766,5.76,9.14
38966,4.92,12.14
39166,7.26,8.79
39366,7.67,21.73
39566,4.72,12.06
39767,5.79,10.43
39967,5.38,9.52
40167,5.42,9.29
40368,8.07,12.5
40568,9.6,23.99
40768,9.93,21.96
40968,5.96,13.24
41168,10.56,9.95
41368,6.92,16.36
41568,10.69,13.12
41768,6.39,22.44
41968,7.05,3.65
42168,2.92,12.7
42368,8.89,10.16
42568,5.69,13.28
42768,8.13,11.74
42969,7.97,15.94
43169,11.6,23.89
43369,9.15,15.76
43569,9.02,10.45
43769,8.74,13.11
43969,8,10.54
44169,9.49,21.3
44369,9.06,13.5
44569,9.47,17.04
44769,7.35,13.04
44969,8.69,8.35
45169,7.73,12.22
45370,7.77,10.36
45570,6.93,8.89
45770,7.59,20.25
45971,5.75,10.98
46171,6.06,11.73
46371,5.36,8.49
46571,6.4,9.6
46771,6.02,8.82
46971,7.1,11.54
47172,6.02,8.56
47372,5.71,9.18
47572,5.78,24.26
47772,3.12,20.23
47973,9.19,6.54
48173,7.26,13.33
48373,1.84,7.37
48573,4.76,8.5
48773,7.89,11.06
48973,8.41,10.08
49173,9.33,11.41
49373,9.2,19.64
49573,9.87,19.08
49773,5.95,8.92
49974,9.26,16.92
50175,8.9,12.65
50375,12.38,16.34
50575,9.31,17.7
50775,10.02,24.76
50975,7.99,11.99
51176,8.59,11.45
51376,6.46,6.15
51577,3.51,13.27
51777,8.51,14.04
51977,11.04,29.22
52177,9.22,11.55
52377,7.7,12.81
52577,10.07,13.56
52777,8.24,18.05
52978,7.99,11.28
53178,9.8,13.89
53379,9.55,23.42
53579,8.11,9.54
53779,8.71,11.68
53979,9.29,16.8
54179,7.93,9.68
54379,8.22,18.26
54579,13.04,22.17
54779,7.15,8.41
54979,8.03,14.05
55179,9.66,10.17
55379,9.7,11.98
55588,8.9,18.68
55788,10.54,25.42
55988,10.18,24.17
56189,7.8,10.26
56389,9.39,17.92
56589,8.24,11.15
56789,8.9,14.24
56990,10.88,13.21
57190,11.33,25.84
57391,8.51,21.94
57591,11.36,39.74
57791,8.97,32.05
57991,10.83,34.93
58193,8.22,25.6
58393,5,25.05
58593,6.55,27.5
58793,4.83,11.92
58993,7.26,8.69
59194,8.94,11.29
59395,10.62,22.24
59596,10.41,23.7
59796,13.48,11.98
59996,8.8,13.46
60196,8.68,13.01
60396,8.19,16.36
60596,8.41,14.52
60796,11.04,14.28
60997,7.36,13.36
61197,7.94,27.27
61398,8.54,13.24
61598,11.9,13.02
61798,8.4,28.48
61999,10.76,15.11
62199,9.92,13.42
62399,7.24,10.86
62600,8.23,11.37
62800,9.17,12.95
63000,8.44,12.19
63200,9.71,22.02
63400,10.42,11.8
63600,8.85,16.2
63800,8.95,9.36
64000,5.7,12.54
64200,9.32,11.65
64400,9.35,22.15
64600,9.7,21.67
64800,6.94,12.51
65000,8.34,11.11
65200,7.95,9.84
65401,8.32,14.54
65601,7.47,12.1
65801,10.04,12.06
66001,8.17,25.72
66201,9.85,9.3
66402,9.48,12.67
66602,8.97,13.78
66802,6.96,18.4
67003,11.29,11.83
67203,7.91,14.9
67404,11.04,14.81
67605,10.77,29.22
67805,6.97,9.96
68006,9.36,13.37
68206,8.75,24.07
68406,8.52,17.57
68606,9.54,10.07
68806,8.07,10.76
69006,6.61,10.65
69207,7.38,10.73
69408,10.68,21.83
69608,10.34,21.32
69808,7.99,10.2
70008,7.63,10.32
70209,6.63,9.58
70409,10.2,13.26
70609,9.29,14.67
70809,10.14,9.73
71010,8.77,14.03
71210,8.34,23.44
71411,8.63,12.32
71611,8.31,11.7
71811,6.05,11.89
72012,8.31,7.92
72212,6.93,24.92
72412,6.9,16.18
72612,6.77,10.64
72813,5.97,8.62
73014,12.74,18.86
73214,12,22
73414,9.35,12.7
73614,9.43,20.41
73814,11.73,18.33
74014,9.4,13.14
74215,7.96,10.61
74415,7.84,15.22
74615,11.64,23.29
74815,8.67,16.05
75015,11.39,10
75215,8,12.49
75415,8.27,10.89
75615,8.49,11.97
75815,9.27,25.95
76015,7.58,12.18
76215,8.27,11.54
76415,6.49,14.7
76616,6.66,11.84
76816,9,15.86
77016,12.31,30.78
77216,10.53,13.34
77416,9.41,9.41
77616,8.01,15.8
77816,9.37,14.12
78016,7.87,13.28
78217,6.83,8.42
78417,4.29,15.93
78617,4.76,14.53
78817,5.44,11.09
79018,7.39,8.84
79218,8.14,14.76
79418,7.82,10.47
79618,9.52,24.75
79818,9.75,10.86
80018,7.99,11.29
80218,7.68,10.1
80418,8.53,12
80618,9.38,9.81
80818,10.13,24.77
81018,9.29,14.21
81218,8.64,10.55
81418,10.05,11.78
81618,8.91,11.46
81818,7.66,12.76
82018,10.89,23.76
82218,8.47,10.59
82418,7.85,11.54
82618,7.57,21.78
82818,7.04,11.09
83019,7.58,15.66
83220,9.39,22.6
83421,10.96,13.96
