FPS_timestamp,FPS_value
0,10
608,6
1608,4
2608,1
3608,0
4608,0
5608,0
6608,0
7608,3
8608,12
9608,24
10608,20
11608,14
12608,24
13608,18
14608,26
15608,20
16608,19
17608,17
18608,20
19608,24
20608,23
21608,24
22608,20
23608,25
24608,24
25608,24
26608,28
27608,27
28608,25
29608,22
30608,24
31608,24
32608,25
33608,25
34608,26
35608,23
36608,26
37608,15
38608,14
39608,18
40608,23
41608,14
42608,24
43608,24
44608,18
45608,14
46608,13
47608,13
48608,22
49608,24
50608,19
51608,25
52608,23
53608,25
54608,22
55608,25
56608,28
57608,17
58608,22
59608,25
60608,25
61608,23
62608,25
63608,24
64608,19
65608,26
66608,24
67608,23
68608,22
69608,22
70608,23
71608,17
72608,26
73608,24
74608,23
75608,21
76608,26
77608,17
78608,19
79608,23
80608,25
81608,23
82608,22
83608,24
84608,16
85608,21
86608,26
87608,25
88608,25
89608,26
90608,24
91608,24
92608,25
93608,24
94608,21
95608,24
96608,25
97608,15
98608,21
99608,24
100608,24
101608,17
102608,20
103608,24
104608,0
105608,30
106608,2
107608,0
108608,0
109608,2
110608,18
111608,4
112608,21
113608,49
114608,2
115608,5
116608,14
117608,10
118608,0
119608,0
120608,35
121608,21
122608,4
123608,3
124608,4
125608,2
126608,3
127608,37
128608,51
