Memory_timestamp,Memory_totalUsage,Memory_otherUsage,Memory_dalvikUsage,Memory_nativeUsage
635,52,38,8,6
1864,57,42,8,7
3098,54,39,8,7
4362,55,40,8,7
5624,54,40,8,6
6883,54,40,8,6
8107,54,40,8,6
9366,56,40,9,7
10609,56,40,9,7
11837,58,40,10,8
13075,59,40,11,8
14338,59,40,11,8
15589,60,40,12,8
16856,63,41,13,9
18087,61,40,13,8
19328,61,40,13,8
20582,61,40,13,8
21842,63,41,13,9
23098,63,41,13,9
24382,62,40,13,9
25645,61,40,13,8
26886,62,40,13,9
28185,62,40,13,9
29444,64,41,14,9
30687,63,40,14,9
31931,63,40,14,9
33175,63,40,14,9
34422,63,40,14,9
35659,63,40,14,9
36917,63,40,14,9
38158,63,40,14,9
39402,62,40,14,8
40669,62,40,14,8
41939,63,40,14,9
43193,62,40,13,9
44471,64,41,14,9
45736,64,41,14,9
47011,64,41,14,9
48261,66,41,15,10
49496,65,41,15,9
50749,65,40,15,10
52003,63,40,15,8
53255,64,40,15,9
54511,65,41,15,9
55773,65,41,15,9
57018,65,41,15,9
58261,66,41,16,9
59512,66,41,16,9
60770,65,40,16,9
62015,65,40,16,9
63250,66,41,16,9
64502,66,41,16,9
65777,66,41,16,9
67029,66,41,16,9
68278,65,40,16,9
69545,65,40,16,9
70791,66,41,16,9
72087,66,41,16,9
73329,66,41,16,9
74579,64,40,16,8
75828,65,40,16,9
77079,66,41,16,9
78357,67,41,17,9
79612,66,41,16,9
80874,66,41,16,9
82146,66,41,16,9
83390,66,41,16,9
84640,68,41,17,10
85879,68,41,17,10
87117,67,41,17,9
88379,67,41,17,9
89637,67,41,17,9
90882,67,41,17,9
92115,67,41,17,9
93367,67,41,17,9
94608,67,41,17,9
95869,68,41,17,10
97107,67,40,17,10
98380,65,40,17,8
99643,67,41,17,9
100885,67,41,17,9
102137,67,41,17,9
103389,67,41,17,9
104654,67,41,17,9
105924,67,41,17,9
107193,69,43,17,9
108456,67,41,17,9
109709,67,41,17,9
110964,68,41,17,10
112199,67,41,17,9
113477,68,41,17,10
114749,69,42,17,10
116013,68,42,17,9
117283,70,43,17,10
118517,71,42,18,11
119779,70,42,18,10
121047,69,41,18,10
122314,70,42,18,10
123543,68,42,17,9
124831,68,42,17,9
126100,68,42,17,9
127367,68,42,17,9
128642,68,42,17,9
129894,70,42,18,10
131161,70,42,18,10
